Asset Key,Asset Name,Family,Control ID,Control Label,Control Title,Type,Implementation Action,Action Detail,Responsible Area,Estimated Hours,Completed,Action Notes,Generated At
app-005,EEEEE,AT,AT-2(2),AT-2(2),Insider Threat,Enhancement,Locate the enterprise literacy training and awareness policy and procedures for insider threat and confirm EEEEE’s local compliance approach,"Use the enterprise-approved policy, implementation procedures, curriculum and materials as the basis for EEEEE’s application-specific awareness activities.",Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(2),AT-2(2),Insider Threat,Enhancement,Document EEEEE’s insider threat literacy training and awareness procedure for personnel with access to the application,Set out how relevant personnel will receive training on recognising potential indicators of insider threat and how concerns are to be reported through the organisation’s established channels.,Engineering Systems Team,4,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(2),AT-2(2),Insider Threat,Enhancement,Deliver insider threat literacy training to EEEEE personnel with information security and privacy responsibilities,"Ensure the training covers potential indicators such as unusual access attempts, policy violations, harassment, workplace violence and other serious misconduct, using role-relevant examples where appropriate.",Engineering Systems Team,3,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(2),AT-2(2),Insider Threat,Enhancement,Deliver insider threat reporting awareness to EEEEE personnel with access to the application,Explain how employees and managers must communicate concerns about potential indicators of insider threat through the organisation’s established reporting channels and in accordance with policy.,Engineering Systems Team,3,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(2),AT-2(2),Insider Threat,Enhancement,Maintain records showing which EEEEE personnel received insider threat literacy training and awareness,"Retain attendance or completion evidence for personnel who receive the training, together with the current curriculum and materials used.",Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(3),AT-2(3),Social Engineering and Mining,Enhancement,Locate the enterprise literacy training and awareness policy and procedures for EEEEE and confirm the application team’s compliance obligations,"Use the enterprise policy, procedures, curriculum, and materials as the authoritative basis for the application team’s training and awareness activities.",Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(3),AT-2(3),Social Engineering and Mining,Enhancement,Document EEEEE-specific literacy training and awareness arrangements for recognising and reporting social engineering and social mining,"Record how Engineering Systems Team personnel and other relevant users will receive training, how concerns are to be raised through organisational channels, and which records will evidence completion.",Engineering Systems Team,4,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(3),AT-2(3),Social Engineering and Mining,Enhancement,Deliver literacy training to EEEEE personnel on recognising potential and actual social engineering attempts,"Cover phishing, pretexting, impersonation, baiting, quid pro quo, thread-jacking, social media exploitation, and tailgating as applicable to the application’s user population.",Engineering Systems Team,4,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(3),AT-2(3),Social Engineering and Mining,Enhancement,Deliver literacy training to EEEEE personnel on reporting potential and actual social engineering attempts through established organisational channels,"Ensure personnel know the approved reporting route for concerns raised by employees and management, in line with established policies and procedures.",Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(3),AT-2(3),Social Engineering and Mining,Enhancement,Deliver literacy training to EEEEE personnel on recognising potential and actual social mining attempts,Explain how information about the organisation may be gathered to support future attacks and how this may present in the application’s operating context.,Engineering Systems Team,3,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(3),AT-2(3),Social Engineering and Mining,Enhancement,Deliver literacy training to EEEEE personnel on reporting potential and actual social mining attempts through established organisational channels,Ensure personnel know how to communicate concerns about social mining using the approved organisational reporting process.,Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(3),AT-2(3),Social Engineering and Mining,Enhancement,Retain EEEEE training attendance and completion records for personnel with information security and privacy responsibilities,Keep evidence showing which organisational personnel received the literacy training and which personnel are responsible for delivering or supporting it.,Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(4),AT-2(4),Suspicious Communications and Anomalous System Behavior,Enhancement,Locate the enterprise literacy training and awareness policy and procedures for EEEEE and confirm the application-specific obligations for suspicious communications and anomalous system behaviour are understood,"Use the enterprise-approved policy, procedures, curriculum and materials as the basis for local implementation. Confirm the required indicators include unexpected attachments or links, unfamiliar sender spoofing known sponsors, poor grammar, and unusual system behaviour such as repeated failed logins or unexpected processes.",Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(4),AT-2(4),Suspicious Communications and Anomalous System Behavior,Enhancement,Document EEEEE-specific literacy training and awareness implementation steps for personnel with access to the application,"Set out how training will be delivered to organisational personnel who use or support EEEEE, including how they are taught to recognise suspicious email or web communications and anomalous behaviour in the application context.",Engineering Systems Team,4,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(4),AT-2(4),Suspicious Communications and Anomalous System Behavior,Enhancement,Deliver literacy training to EEEEE users and support personnel on recognising suspicious communications and anomalous behaviour in organisational systems,Include the organisation-defined indicators of malicious code and the expected response to suspicious email or web communications. Ensure personnel with information security or privacy responsibilities receive the same training content where relevant to their role.,Engineering Systems Team,6,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(4),AT-2(4),Suspicious Communications and Anomalous System Behavior,Enhancement,Retain records showing which organisational personnel received the EEEEE literacy training and awareness content,"Keep attendance or completion records for personnel who receive the training, including those with basic literacy training responsibilities and those with information security or privacy responsibilities.",Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(5),AT-2(5),Advanced Persistent Threat,Enhancement,Locate the enterprise literacy training and awareness policy and ensure EEEEE complies with its requirements,Confirm the application team follows the enterprise-approved approach for advanced persistent threat literacy training and awareness.,Engineering Systems Team,1,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(5),AT-2(5),Advanced Persistent Threat,Enhancement,Document EEEEE in the system security plan as receiving advanced persistent threat literacy training through enterprise awareness arrangements,Record how the application team and any other relevant personnel are covered by the training requirement.,Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(5),AT-2(5),Advanced Persistent Threat,Enhancement,Document EEEEE in the privacy plan as receiving advanced persistent threat literacy training through enterprise awareness arrangements,Record the relevant personnel groups and how the training requirement is met within the application context.,Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(5),AT-2(5),Advanced Persistent Threat,Enhancement,Document the procedure for implementing advanced persistent threat literacy training and awareness for EEEEE personnel,"Set out how the application team will identify the relevant personnel, direct them to the enterprise training, and retain evidence of completion.",Engineering Systems Team,4,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(5),AT-2(5),Advanced Persistent Threat,Enhancement,Maintain the literacy training curriculum and materials used for EEEEE personnel,"Ensure the training content covers APT infiltration via websites, emails, advertisement pop-ups, articles, social engineering, suspicious emails, removable systems in non-secure settings, and targeting at home.",Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(5),AT-2(5),Advanced Persistent Threat,Enhancement,Retain records showing which EEEEE personnel received advanced persistent threat literacy training,Keep completion evidence for personnel with basic literacy training and awareness responsibilities and those with information security and privacy responsibilities.,Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(6),AT-2(6),Cyber Threat Environment,Enhancement,Locate the enterprise literacy training and awareness policy and procedures for EEEEE and confirm the application team’s obligations under them,Identify the current enterprise-approved requirements that govern cyber threat environment literacy training and awareness for personnel supporting EEEEE.,Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(6),AT-2(6),Cyber Threat Environment,Enhancement,Document EEEEE in the system security plan and privacy plan as receiving cyber threat environment literacy training through the enterprise training process,Record how the application’s personnel are covered by the enterprise literacy training and awareness arrangements and how this supports current cyber threat information being reflected in system operations.,Engineering Systems Team,3,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(6),AT-2(6),Cyber Threat Environment,Enhancement,Identify the EEEEE personnel who must receive cyber threat environment literacy training and awareness,"List personnel with basic literacy training and awareness responsibilities, and personnel with information security and privacy responsibilities, for inclusion in the application’s compliance records.",Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(6),AT-2(6),Cyber Threat Environment,Enhancement,Maintain evidence that EEEEE personnel have completed the required cyber threat environment literacy training and awareness,"Retain completion records or equivalent evidence for the personnel identified for EEEEE, suitable for assessment and audit.",Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(6),AT-2(6),Cyber Threat Environment,Enhancement,Update EEEEE operational procedures and support materials to reflect current cyber threat information,Ensure the application’s system operations documentation used by the Engineering Systems Team reflects current cyber threat information relevant to EEEEE.,Engineering Systems Team,4,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3,AT-3,Role-based Training,Control,Document role-based security and privacy training requirements for EEEEE,"Map the system’s assigned security and privacy roles to the enterprise-defined training requirements, including the roles that must receive training before access or duties are authorised and thereafter every 12 months.",Engineering Systems Team,4,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3,AT-3,Role-based Training,Control,Identify the role-based security and privacy training content needed for EEEEE,"Define the training topics for the system’s roles and responsibilities, covering the security and privacy requirements relevant to EEEEE and the duties performed by personnel with access to the application.",Engineering Systems Team,4,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3,AT-3,Role-based Training,Control,Ensure EEEEE personnel complete role-based security and privacy training before access or assigned duties are authorised,"Verify completion of the required training for system owners, system security officers, privacy officers, enterprise architects, system/network/database administrators, software developers, control assessors, privacy engineers, data stewards, personnel handling PII, auditors, and acquisition/procurement officials before granting access or assigning duties.",Engineering Systems Team,6,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3,AT-3,Role-based Training,Control,Record role-based security and privacy training completion for EEEEE personnel,"Maintain training records showing who completed the required role-based training and when, for all personnel in the defined security and privacy roles.",Engineering Systems Team,3,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3,AT-3,Role-based Training,Control,Update EEEEE role-based training content when required by system changes or incidents,"Revise the training content when assessment or audit findings, security incidents or breaches, or major system or architecture changes affect the application’s security or privacy requirements.",Engineering Systems Team,4,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3,AT-3,Role-based Training,Control,Schedule and deliver annual role-based security and privacy refresher training for EEEEE personnel,Provide the required refresher training every 12 months to all personnel in the defined security and privacy roles.,Engineering Systems Team,4,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3(1),AT-3(1),Environmental Controls,Enhancement,"Locate the enterprise security and privacy awareness training policy and procedures for EEEEE and confirm the annual environmental controls training requirement applies to Facility operations staff, data centre technicians, and the information system owner","Use the enterprise training policy, implementation procedures, curriculum, and materials as the authoritative basis for the application’s compliance approach.",Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3(1),AT-3(1),Environmental Controls,Enhancement,Document the EEEEE training procedure for initial and annual refresher training in the employment and operation of environmental controls,"Cover the roles in scope, the training trigger for new starters and annual refresh, and the environmental controls relevant to the production environment, including fire detection and suppression, sprinklers, extinguishers, smoke detection, HVAC, and power.",Engineering Systems Team,4,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3(1),AT-3(1),Environmental Controls,Enhancement,Assign responsibility for delivering and recording environmental controls training for EEEEE to the appropriate operational and application owners,"Ensure Facility operations staff, data centre technicians, and the information system owner are identified in the procedure as the personnel who must receive the training and whose completion must be evidenced.",Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3(1),AT-3(1),Environmental Controls,Enhancement,"Record initial environmental controls training completion for Facility operations staff, data centre technicians, and the information system owner for EEEEE",Retain training records showing completion against the approved curriculum and materials for each in-scope person or role.,Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3(1),AT-3(1),Environmental Controls,Enhancement,"Record annual refresher environmental controls training completion for Facility operations staff, data centre technicians, and the information system owner for EEEEE",Maintain evidence of annual refresher completion in line with the required frequency and keep the records available for assessment.,Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3(2),AT-3(2),Physical Security Controls,Enhancement,"Document in EEEEE’s system security plan how initial and annual refresher training for physical security controls is provided to facility security guards, physical access control administrators, and the security operations centre monitoring team","Reference the inherited enterprise physical security arrangements and state the roles covered, the training frequency, and the control scope for physical access control devices, intrusion and detection alarms, guard procedures, and monitoring or surveillance equipment.",Engineering Systems Team,4,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3(2),AT-3(2),Physical Security Controls,Enhancement,Document the training procedure for EEEEE that assigns responsibility for delivering and tracking initial and annual refresher training in the employment and operation of physical security controls,"Set out how the relevant roles are identified, how training is assigned, and how completion is recorded for the application’s operational context.",Engineering Systems Team,4,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3(2),AT-3(2),Physical Security Controls,Enhancement,Ensure the relevant personnel for EEEEE complete initial training on the employment and operation of physical security controls before performing those duties,"Cover the use and operation of the inherited physical security controls relevant to the application’s environment, including access control devices, alarms, guard procedures, and monitoring equipment.",Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3(2),AT-3(2),Physical Security Controls,Enhancement,Ensure the relevant personnel for EEEEE complete annual refresher training on the employment and operation of physical security controls,"Re-train facility security guards, physical access control administrators, and the SOC monitoring team at the required annual frequency and retain evidence of completion.",Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3(2),AT-3(2),Physical Security Controls,Enhancement,Retain training records for EEEEE showing initial and annual refresher completion for the identified personnel and roles,"Keep attendance or completion records that demonstrate who was trained, when training occurred, and that the training covered physical security controls.",Engineering Systems Team,1,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3(3),AT-3(3),Practical Exercises,Enhancement,Locate the enterprise security and privacy awareness training policy and procedures for EEEEE and confirm the application team’s obligations for practical exercises,"Use the enterprise-issued policy, procedures, curriculum and training materials as the authoritative basis for the application’s training implementation.",Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3(3),AT-3(3),Practical Exercises,Enhancement,Document EEEEE’s role-based security and privacy training implementation procedure covering practical exercises for developers and relevant personnel,"Include how the team will deliver or arrange exercises that address simulated attacks against common software vulnerabilities, spear or whale phishing scenarios for senior leaders or executives, PII identification and processing scenarios, and privacy impact assessment scenarios where applicable.",Engineering Systems Team,6,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3(3),AT-3(3),Practical Exercises,Enhancement,Update the EEEEE security and privacy training curriculum and materials to include the required practical exercises,Ensure the curriculum explicitly includes the practical security and privacy exercises required by the control and maps them to the training objectives.,Engineering Systems Team,6,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3(3),AT-3(3),Practical Exercises,Enhancement,Deliver the practical security and privacy exercises to organisational personnel with responsibilities for role-based training and to personnel who participate in awareness training for EEEEE,Run the exercises using the approved materials and record attendance and completion for the relevant application team personnel.,Engineering Systems Team,4,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3(3),AT-3(3),Practical Exercises,Enhancement,Record the results of the practical exercises and retain the training reports as compliance evidence for EEEEE,"Capture completion status, quiz or exercise outcomes, and any follow-up actions in the application’s compliance records, SSP or privacy plan evidence set as applicable.",Engineering Systems Team,3,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3(5),AT-3(5),Processing Personally Identifiable Information,Enhancement,Identify the personnel with access to EEEEE who require initial and annual refresher training on personally identifiable information processing and transparency controls,"Include all personnel with access to PII, specifically system owners, data stewards, and privacy officers.",Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3(5),AT-3(5),Processing Personally Identifiable Information,Enhancement,Document EEEEE-specific procedures for delivering initial and annual refresher training on personally identifiable information processing and transparency controls,"Align the procedure to the enterprise security and privacy awareness training policy and define how training is assigned, completed, and recorded for the in-scope personnel.",Engineering Systems Team,4,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3(5),AT-3(5),Processing Personally Identifiable Information,Enhancement,"Prepare EEEEE training materials covering PII processing authority, processing purposes, transparency controls, and the privacy documentation that governs those activities","Base the content on the system security plan, privacy plan, privacy notices, system of records notices, Privacy Act statements, computer matching agreements, privacy impact assessments, contracts, information sharing agreements, memoranda of understanding, and other relevant records.",Engineering Systems Team,6,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3(5),AT-3(5),Processing Personally Identifiable Information,Enhancement,Deliver initial training to all personnel with access to PII in EEEEE before they perform PII processing activities,"Ensure the training covers the types of information that may constitute PII, the risks and obligations associated with processing it, and the applicable transparency controls.",Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3(5),AT-3(5),Processing Personally Identifiable Information,Enhancement,Deliver annual refresher training to all personnel with access to PII in EEEEE,Repeat the same role-based content each year and record completion for audit and assessment evidence.,Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-3(5),AT-3(5),Processing Personally Identifiable Information,Enhancement,Retain training completion records for EEEEE showing initial and annual refresher training for all in-scope personnel,"Keep evidence that demonstrates who completed the training and when, so the organisation can show compliance during assessment.",Engineering Systems Team,1,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-4,AT-4,Training Records,Control,Document security and privacy training record retention responsibilities for EEEEE,"Specify who within the Engineering Systems Team owns retention, retrieval, and disposal of training records for the application context, aligned to the 3-year retention period.",Engineering Systems Team,2,No,"",2026-06-25 20:12
app-005,EEEEE,AT,AT-4,AT-4,Training Records,Control,Document the process for recording security and privacy awareness training and role-based training completed by EEEEE personnel,Ensure the process captures both general awareness training and any role-based security and privacy training relevant to the application team.,Engineering Systems Team,4,No,"",2026-06-25 20:12
app-005,EEEEE,AT,AT-4,AT-4,Training Records,Control,Retain individual security and privacy training records for EEEEE personnel for 3 years,"Keep evidence of completed training, including dates and course details, for the full retention period specified by the control.",Engineering Systems Team,2,No,"",2026-06-25 20:12
app-005,EEEEE,AT,AT-4,AT-4,Training Records,Control,Document how security and privacy training activities for EEEEE are monitored,Define how completion and outstanding training are tracked so the team can demonstrate that training activities are monitored.,Engineering Systems Team,3,No,"",2026-06-25 20:12
app-005,EEEEE,AT,AT-4,AT-4,Training Records,Control,Collect and file current security and privacy awareness and role-based training records for EEEEE as compliance evidence,"Assemble the records needed for assessment, including any system security plan or privacy plan references that describe the training record process.",Engineering Systems Team,2,No,"",2026-06-25 20:12
app-005,EEEEE,AT,AT-6,AT-6,Training Feedback,Control,"Document EEEEE training feedback procedure to provide awareness and role-based training results within 30 days after each training completion cycle to the CISO, the training programme manager, and the information system owner","State the trigger, recipients, and timing for reporting training results. Include how failures in critical roles are escalated as part of the feedback process.",Engineering Systems Team,4,No,"",2026-06-25 20:12
app-005,EEEEE,AT,AT-6,AT-6,Training Feedback,Control,Record EEEEE training completion and failure results in the security training records set used for compliance evidence,"Maintain the training records needed to support feedback, retention, and assessment of awareness and role-based training outcomes for the application context.",Engineering Systems Team,2,No,"",2026-06-25 20:12
app-005,EEEEE,AT,AT-6,AT-6,Training Feedback,Control,"Provide EEEEE training results to the CISO, the training programme manager, and the information system owner within 30 days after each training completion cycle","Send the awareness and role-based training results to the named personnel on the required schedule, including any critical-role failures that require management attention.",Engineering Systems Team,2,No,"",2026-06-25 20:12
